competition,rank,team_id,team_name,played,wins,draws,losses,gf,ga,gd,points
league,1,T02,대구,42,25,0,17,217,177,40,75
league,2,T01,서산,42,25,0,17,195,184,11,75
league,3,T03,부산,42,24,0,18,207,198,9,72
league,4,T14,제주,42,23,0,19,210,169,41,69
league,5,T06,동대문,39,21,0,18,185,153,32,63
league,6,T10,춘천,39,21,0,18,163,172,-9,63
league,7,T11,울산,39,20,0,19,157,153,4,60
league,8,T07,창원,39,20,0,19,163,164,-1,60
league,9,T09,부천,39,20,0,19,165,167,-2,60
league,10,T04,광주,39,18,0,21,174,200,-26,54
league,11,T13,수원,39,17,0,22,171,194,-23,51
league,12,T05,경산,39,16,0,23,177,172,5,48
league,13,T12,세종,39,16,0,23,148,171,-23,48
league,14,T08,원주,39,13,0,26,172,230,-58,39
ACL1,1,UZB_E_FC,타슈켄트,11,8,0,3,67,45,22,5
ACL1,2,MAS_F_FC,쿠알라룸푸르,11,7,2,2,53,34,19,4
ACL1,3,IRN_D_FC2,마슈하드,8,5,1,2,31,25,6,3
ACL1,4,JPN_A_FC,도쿄,10,5,1,4,39,35,4,3
ACL1,5,JOR_F_FC,암만,10,3,2,5,37,47,-10,3
ACL1,6,THA_B_FC4,나콘랏차시마,7,3,0,4,46,35,11,2
ACL1,7,JPN_A_FC3,요코하마,8,4,0,4,40,33,7,2
ACL1,8,QAT_C_FC,알라이얀,8,5,0,3,52,46,6,2
ACL1,9,UZB_E_FC2,사마르칸트,7,4,1,2,40,35,5,2
ACL1,10,CHN_C_FC2,베이징,8,3,2,3,47,47,0,2
ACL1,11,THA_Z_FC2,방콕,7,3,1,3,31,37,-6,2
ACL1,12,QAT_C_FC3,알코르,7,3,0,4,28,34,-6,2
ACL1,13,THA_B_FC3,콘깬,6,3,2,1,27,15,12,0
ACL1,14,JPN_A_FC4,고베,6,4,0,2,36,26,10,0
ACL1,15,UAE_B_FC,샤르자,6,2,2,2,31,23,8,0
ACL1,16,AUS_D_FC,시드니,6,4,0,2,36,30,6,0
ACL1,17,KSA_A_FC2,제다,6,3,2,1,24,20,4,0
ACL1,18,THA_B_FC,푸껫,6,3,0,3,31,28,3,0
ACL1,19,IRN_D_FC,테헤란,6,3,2,1,27,24,3,0
ACL1,20,CHN_C_FC,상하이,6,3,0,3,19,17,2,0
ACL1,21,UAE_B_FC2,알아인,6,2,2,2,38,38,0,0
ACL1,22,UAE_B_FC3,아지만,6,2,1,3,23,24,-1,0
ACL1,23,JPN_A_FC2,오사카,6,2,1,3,18,21,-3,0
ACL1,24,KSA_A_FC,리야드,6,2,0,4,24,28,-4,0
ACL1,25,KSA_A_FC4,메디나,6,1,1,4,26,33,-7,0
ACL1,26,QAT_C_FC2,알와크라,6,2,2,2,21,28,-7,0
ACL1,27,KSA_A_FC3,메카,6,1,1,4,19,26,-7,0
ACL1,28,UAE_Z_FC,두바이,6,2,1,3,18,26,-8,0
ACL1,29,THA_B_FC2,파타야,6,2,0,4,16,24,-8,0
ACL1,30,AUS_D_FC2,멜버른,6,2,0,4,18,27,-9,0
ACL1,31,SGP_E_FC,싱가포르,6,2,1,3,23,37,-14,0
ACL1,32,VIE_Z_FC,하노이,6,1,0,5,14,33,-19,0
ACL2,1,QAT_Z_FC2,도하,11,6,1,4,64,76,-12,5
ACL2,2,UAE_B_FC4,푸자이라,10,6,0,4,60,48,12,4
ACL2,3,PHI_I_FC,마닐라,11,6,2,3,45,36,9,4
ACL2,4,THA_B_FC5,핫야이,10,5,2,3,48,47,1,3
ACL2,5,IRQ_G_FC2,바스라,8,5,1,2,35,36,-1,3
ACL2,6,UZB_E_FC3,부하라,8,4,1,3,22,28,-6,3
ACL2,7,OMA_I_FC2,살랄라,7,6,0,1,44,15,29,2
ACL2,8,IDN_K_FC,자카르타,7,5,1,1,39,29,10,2
ACL2,9,AUS_D_FC3,브리즈번,8,3,1,4,27,22,5,2
ACL2,10,MAS_F_FC2,조호르바루,8,3,2,3,27,23,4,2
ACL2,11,BHR_H_FC2,무하라크,7,2,1,4,25,30,-5,2
ACL2,12,HKG_H_FC2,구룡,7,1,2,4,28,43,-15,2
ACL2,13,QAT_C_FC4,움살랄,6,4,2,0,37,19,18,0
ACL2,14,KSA_A_FC5,담맘,6,3,0,3,42,25,17,0
ACL2,15,SGP_E_FC2,우드랜즈,6,5,0,1,24,11,13,0
ACL2,16,BHR_H_FC,마나마,6,2,2,2,24,11,13,0
ACL2,17,CHN_C_FC3,광저우,6,4,1,1,30,18,12,0
ACL2,18,IRN_D_FC3,이스파한,6,3,0,3,30,24,6,0
ACL2,19,IND_J_FC,뉴델리,6,3,1,2,27,24,3,0
ACL2,20,SGP_E_FC3,탐피니스,6,1,2,3,27,28,-1,0
ACL2,21,THA_Z_FC3,치앙마이,6,3,0,3,22,24,-2,0
ACL2,22,VIE_G_FC2,다낭,6,2,0,4,17,19,-2,0
ACL2,23,VIE_G_FC,호찌민,6,1,2,3,31,34,-3,0
ACL2,24,CAM_J_FC,프놈펜,6,3,0,3,23,26,-3,0
ACL2,25,HKG_H_FC,홍콩,6,2,1,3,14,20,-6,0
ACL2,26,UAE_B_FC5,라스알카이마,6,2,0,4,33,41,-8,0
ACL2,27,OMA_I_FC,무스카트,6,1,1,4,20,29,-9,0
ACL2,28,JPN_A_FC5,나고야,6,2,0,4,16,25,-9,0
ACL2,29,CHN_C_FC4,선전,6,2,0,4,14,25,-11,0
ACL2,30,JOR_F_FC2,자르카,6,2,0,4,17,29,-12,0
ACL2,31,UAE_Z_FC3,아부다비,6,1,0,5,14,26,-12,0
ACL2,32,IRQ_G_FC,바그다드,6,2,0,4,25,46,-21,0
ACL3,1,TKM_K_FC2,투르크메나바트,11,8,0,3,71,39,32,5
ACL3,2,TLS_S_FC,딜리,11,6,1,4,51,33,18,4
ACL3,3,VIE_G_FC3,하이퐁,10,6,0,4,43,39,4,3
ACL3,4,PRK_M_FC,평양,8,4,0,4,41,41,0,3
ACL3,5,BHU_V_FC,팀푸,10,6,0,4,44,54,-10,3
ACL3,6,LBN_N_FC,베이루트,8,4,0,4,25,35,-10,3
ACL3,7,KGZ_O_FC,비슈케크,8,4,1,3,23,24,-1,2
ACL3,8,TPE_N_FC,타이베이,8,3,1,4,36,41,-5,2
ACL3,9,MYA_P_FC,양곤,6,5,1,0,38,17,21,0
ACL3,10,MAC_Q_FC,마카오,6,4,0,2,39,19,20,0
ACL3,11,IND_J_FC2,뭄바이,6,5,0,1,38,18,20,0
ACL3,12,HKG_H_FC3,센트럴,6,4,0,2,29,16,13,0
ACL3,13,AFG_U_FC,카불,6,4,0,2,27,14,13,0
ACL3,14,BHR_H_FC3,리파,6,3,0,3,33,24,9,0
ACL3,15,PHI_I_FC2,세부,6,3,0,3,39,32,7,0
ACL3,16,LAO_U_FC,비엔티안,6,3,0,3,29,23,6,0
ACL3,17,TKM_K_FC,아시가바트,6,4,0,2,22,17,5,0
ACL3,18,TJK_M_FC,두샨베,6,2,1,3,32,31,1,0
ACL3,19,PLW_V_FC,코로르,6,2,2,2,24,24,0,0
ACL3,20,SYR_R_FC,다마스쿠스,6,2,1,3,23,24,-1,0
ACL3,21,GUM_O_FC,하갓냐,6,3,0,3,29,31,-2,0
ACL3,22,PLE_P_FC,가자,6,2,0,4,20,23,-3,0
ACL3,23,CAM_J_FC2,시엠립,6,2,0,4,24,31,-7,0
ACL3,24,IRQ_G_FC3,모술,6,1,0,5,31,39,-8,0
ACL3,25,LKA_S_FC,콜롬보,6,2,0,4,22,30,-8,0
ACL3,26,NMI_R_FC,가라판,6,2,0,4,22,31,-9,0
ACL3,27,BGD_T_FC,다카,6,3,0,3,24,34,-10,0
ACL3,28,NEP_Q_FC,카트만두,6,2,1,3,14,27,-13,0
ACL3,29,KUW_L_FC,쿠웨이트시티,6,1,0,5,17,32,-15,0
ACL3,30,BRU_T_FC,반다르스리브가완,6,2,0,4,15,30,-15,0
ACL3,31,MNG_L_FC,울란바토르,6,2,0,4,16,34,-18,0
ACL3,32,IDN_K_FC2,수라바야,6,0,1,5,9,43,-34,0
