competition,stage,round,week,day,match_no,home_team_id,away_team_id,home_score,away_score,winner_team_id,loser_team_id
league,regular,1,3,토,,T02,T13,0,4,T13,T02
league,regular,1,3,금,,T04,T11,9,3,T04,T11
league,regular,1,3,일,,T08,T07,4,13,T07,T08
league,regular,1,3,금,,T09,T06,2,6,T06,T09
league,regular,1,3,토,,T10,T05,0,5,T05,T10
league,regular,1,3,일,,T01,T14,2,6,T14,T01
league,regular,1,3,토,,T03,T12,6,0,T03,T12
league,regular,2,4,금,,T11,T02,0,4,T02,T11
league,regular,2,4,목,,T13,T01,4,4,,
league,regular,2,4,금,,T10,T03,7,5,T10,T03
league,regular,2,4,목,,T12,T14,3,3,,
league,regular,2,4,금,,T05,T08,2,0,T05,T08
league,regular,2,4,목,,T07,T06,0,9,T06,T07
league,regular,2,4,금,,T04,T09,0,2,T09,T04
league,regular,3,4,일,,T09,T02,8,0,T09,T02
league,regular,3,4,토,,T14,T10,4,3,T14,T10
league,regular,3,4,토,,T01,T12,3,3,,
league,regular,3,4,일,,T07,T04,0,1,T04,T07
league,regular,3,4,일,,T08,T03,4,7,T03,T08
league,regular,3,4,토,,T13,T11,5,3,T13,T11
league,regular,3,4,일,,T06,T05,5,7,T05,T06
league,regular,4,5,일,,T03,T06,8,10,T06,T03
league,regular,4,5,토,,T02,T07,2,1,T02,T07
league,regular,4,5,금,,T05,T04,1,4,T04,T05
league,regular,4,5,금,,T10,T12,3,7,T12,T10
league,regular,4,5,일,,T11,T01,3,1,T11,T01
league,regular,4,5,토,,T09,T13,7,4,T09,T13
league,regular,4,5,금,,T08,T14,9,8,T08,T14
league,regular,5,6,목,,T11,T09,4,2,T11,T09
league,regular,5,6,금,,T07,T13,2,3,T13,T07
league,regular,5,6,목,,T04,T03,10,1,T04,T03
league,regular,5,6,금,,T14,T06,3,1,T14,T06
league,regular,5,6,금,,T02,T05,3,6,T05,T02
league,regular,5,6,목,,T01,T10,5,10,T10,T01
league,regular,5,6,목,,T12,T08,6,1,T12,T08
league,regular,6,6,토,,T01,T09,2,2,,
league,regular,6,6,일,,T06,T12,4,3,T06,T12
league,regular,6,6,일,,T13,T05,7,4,T13,T05
league,regular,6,6,토,,T07,T11,2,0,T07,T11
league,regular,6,6,토,,T08,T10,5,2,T08,T10
